identifier,village_name,lat,lon,viirs_radiance,solar_radiation_j,landuse_code,terrain_slope_deg,ndvi,worldpop_density,rainfall_mm
,Location #17133,11.080325,2.080237,0.305,6.485654614121094E8,40,0.47881928,0.3484469,0.27989483,1065.8240774422884
,Gamboré,10.909841,2.155953,0.34,6.463685502454427E8,40,0.55156356,0.33302593,0.4265823,1107.2219114899635
,Location #17144,10.889591,2.261538,0.29500002,6.472177479121094E8,20,0.5634533,0.38503698,0.17423382,1091.6256345510483
,Takotiéta,10.333859,1.098452,0.35166666,6.19988337078776E8,40,0.97204214,0.34836754,0.78017664,1090.9500976800919
,Location #17117,10.887572,2.227548,0.29666665,6.463685502454427E8,40,0.47036657,0.3047919,0.22732888,1107.4591214060783
,Location #17134,9.820518,1.867222,0.35083333,6.15418612078776E8,40,0.8341085,0.37601694,0.47727418,1353.4695699214935
,Location #17119,10.837601,2.25237,0.31166667,6.45223103078776E8,40,0.7906745,0.36196083,0.168993,1122.6761312484741
,Basso,10.554063,3.645522,0.29583335,6.483706699121094E8,20,0.62328094,0.35438496,0.70679104,1238.6945519447327
,Grand-Popo,6.324694,1.822204,0.38166666,5.71383721578776E8,30,0.15458144,0.44042313,2.2735786,1116.9415308237076
,Igbo-Aïdin,6.962422,2.529805,0.33583334,5.310864234121094E8,10,0.34770852,0.49723583,1.3426406,1307.4794327616692
,Loumbou-Loumbou,12.218394,2.932339,0.33833334,6.658853679121094E8,40,0.8419779,0.23581041,0.18891266,696.2510114312172
,Kassakou,11.074706,2.914405,0.3575,6.529507797454427E8,40,0.82094425,0.29158032,2.6733909,1033.1555781960487
,Location #17135,11.223938,2.143595,0.32666668,6.491000082454427E8,40,0.4232195,0.36518905,0.37802494,1028.4178162664175
,Lohoungbôdjè,6.94814,2.489611,0.32666665,5.268348062454427E8,40,0.34616375,0.5650472,0.8512921,1314.847562611103
,Location #17120,11.098795,2.385424,0.32166666,6.511613357454427E8,40,0.2207049,0.35561958,0.4596876,1056.0666160136461
,Location #17137,10.601159,2.703183,0.26166666,6.425656762454427E8,40,0.6704083,0.2768591,0.27921057,1074.0114043354988
,Ounet,11.20111,2.447647,0.29666668,6.51691481078776E8,20,1.2012616,0.38017258,0.63163275,1040.45163025707
,Yingnimpogou,11.5375,2.471666,0.32083333,6.552696362454427E8,40,0.39441454,0.32598844,1.0826818,955.458642244339
,Kokiborou,10.925725,2.19255,0.37833333,6.463685502454427E8,40,0.5467163,0.34364054,0.30577648,1107.2219114899635
,Location #17140,11.243895,2.175954,0.30916667,6.508290629121094E8,40,0.3864487,0.34789297,0.5343519,1027.388028293848
,Sontou,9.745886,2.825867,0.2825,6.12372836078776E8,20,0.4214751,0.41534382,0.29983124,1199.33699965477
,Location #17094,11.517475,2.415731,0.41166666,6.54060131578776E8,40,0.6109908,0.262263,0.89841646,920.991144657135
,Location #17098,11.01075,2.706218,0.29,6.509011224121094E8,40,0.31495947,0.29304388,0.5424998,1055.135687917471
,Ouoré,10.888307,2.213147,0.32916668,6.463685502454427E8,40,0.5977379,0.34621626,0.2575983,1107.4591214060783
,Bâbô,10.670749,3.655476,0.3075,6.50262420078776E8,20,0.6339064,0.38436154,0.1721608,1204.8593804836273
,Location #17108,7.825993,2.404451,0.31833333,5.64919736578776E8,20,0.94110554,0.33667222,0.22984374,1046.7721919417381
,Igoïssi,6.969285,2.597333,0.33166668,5.289347967454427E8,10,2.905833,0.545114,2.2314234,1300.1322673559189
,Location #17106,10.582442,2.271164,0.3,6.398686137454427E8,20,0.22051094,0.4240904,0.14236994,1117.6075247526169
,Location #17072,10.777625,2.271242,0.34333333,6.45223103078776E8,40,0.840617,0.27556127,0.18540409,1127.2423133850098
,Location #17104,10.829326,2.225772,0.29416665,6.443680652454427E8,40,0.6183033,0.33066648,0.21828683,1139.021434187889
,Location #17063,10.670626,2.178246,0.33916667,6.41605351578776E8,40,0.6615985,0.40508813,0.2170656,1116.99541503191
,Location #17083,11.204352,2.268771,0.32083333,6.516513459121094E8,40,0.4571257,0.30583116,1.5301387,1032.1548296548426
,Location #17107,11.127896,2.210699,0.305,6.50298070578776E8,40,0.42310148,0.31391263,0.75784886,1086.1003617718816
,Location #17100,11.025354,2.011769,0.31166667,6.45539890078776E8,40,0.73900497,0.3283174,0.38390934,1079.8525549173355
,Location #17112,11.16357,2.162061,0.31083333,6.508290629121094E8,40,0.4703791,0.34694535,0.3011787,1047.9124940633774
,Ounet,11.229221,2.427921,0.34666666,6.51691481078776E8,40,0.4897816,0.29924753,1.2648121,1020.9633487039246
,Dunkassa,10.362438,3.119739,0.27833334,6.399526397454427E8,40,0.707122,0.38462457,0.58761036,1139.6591709852219
,Igbomakro,9.06967,1.873802,0.33,5.977010064121094E8,20,1.1071187,0.40131676,0.33502463,1369.5213171243668
,Libantè,10.764852,3.629865,0.30833334,6.510362662454427E8,30,1.1438712,0.3310076,0.22852473,1188.249331107363
,Location #17054,9.664166,1.86323,0.31333333,6.134465337454427E8,20,1.2142951,0.46085408,0.37996757,1326.832139492035
,Location #17069,10.784772,2.438326,0.27583334,6.45553233578776E8,20,0.3506322,0.29291913,0.17184573,1099.3058656156063
,Kassakou,11.102358,2.891046,0.34583333,6.529507797454427E8,40,0.07729086,0.24093942,1.8094764,1001.5775204245001
,Location #17066,11.109923,2.380905,0.2925,6.511613357454427E8,20,0.24488449,0.34695187,0.42607862,1056.0666160136461
,Gbéniki,11.312586,2.317017,0.3025,6.518609064121094E8,40,0.62330645,0.2841008,0.6249069,1026.2068724036217
,Kandi,11.248693,2.94569,0.29333332,6.53691659578776E8,40,0.47909242,0.3208567,0.5067292,950.4939598888159
,Takotiéta,10.319373,1.100717,0.35916665,6.19988337078776E8,40,0.39052606,0.32942125,0.79287165,1146.975521095097
,Location #17059,10.391201,0.98239,0.34083334,6.228774414121094E8,40,1.886816,0.3522921,0.76881564,1131.4798653125763
,Location #17084,10.998042,2.111435,0.34,6.467593167454427E8,40,0.71822655,0.32370815,0.22018504,1093.1690149903297
,Tagayé,10.309545,1.351588,0.41833332,6.190242592454427E8,20,3.6539328,0.44650382,1.9074292,1308.519541144371
,Location #17073,10.83879,2.194092,0.31666666,6.443680652454427E8,40,0.67087656,0.31381157,0.25810403,1146.299176812172
,Dunkassa,10.361352,3.129907,0.31166667,6.399526397454427E8,20,0.28010282,0.38648406,0.92322147,1139.6591709852219
,Location #17085,10.895313,2.268942,0.285,6.472177479121094E8,20,0.6232922,0.36463913,0.19131917,1091.6256345510483
,Location #17101,11.151875,2.668956,0.3225,6.530555139121094E8,40,0.7887547,0.33874705,0.43577546,983.7444477379322
,Location #17088,10.434883,1.099188,0.30166668,6.22414767578776E8,40,0.7812044,0.3631564,0.7217472,1047.895122051239
,Location #17080,9.648151,2.515448,0.33583334,6.122548962454427E8,40,0.906118,0.30384862,0.17418149,1240.1059571504593
,Location #17089,7.375648,2.165472,0.34666666,5.614745459121094E8,20,1.5583404,0.38019902,0.39678395,1224.112188220024
,Location #17111,11.046819,2.409212,0.32333332,6.49371812078776E8,40,0.8646,0.3178305,0.35572824,1081.3729676902294
,Bouaïna,10.911414,3.706694,0.35416666,6.52828727078776E8,40,0.6183033,0.3348112,1.0116218,1130.3145436644554
,Location #17049,10.806344,2.421042,0.31083333,6.45553233578776E8,20,0.62590164,0.3617924,0.14660159,1106.014166355133
,Location #17061,11.111758,2.566151,0.34583333,6.517771214121094E8,40,0.6321034,0.29943997,0.21194795,1037.5166798830032
,Gouré Kié,10.802759,3.635153,0.28083333,6.510362662454427E8,40,0.54671174,0.28389058,0.20824276,1193.050885900855
,Sanrou,11.165935,2.840476,0.26583335,6.536332714121094E8,40,0.3244645,0.30508664,0.9343653,951.8905964940786
,Bonhanrou,11.351645,2.445178,0.31083333,6.539109929121094E8,40,0.6086036,0.28827766,1.173954,995.2768257856369
,Songorogougou,11.259628,2.370245,0.3125,6.528073712454427E8,40,0.673517,0.28225636,1.7385405,1038.2042381111532
,Location #17064,11.087021,2.20184,0.29666665,6.50298070578776E8,40,0.5634831,0.36669216,0.40958396,1102.044659793377
,Location #17092,10.872573,2.431422,0.30416667,6.474531112454427E8,30,0.5410203,0.33086407,0.17575267,1082.9405082464218
,Houédamè,6.956115,2.532258,0.315,5.310864234121094E8,10,2.6196592,0.5111644,1.3229454,1307.4794327616692
,Location #17091,11.031184,2.067788,0.30416667,6.467593167454427E8,40,0.67315996,0.31053883,0.30365553,1086.0889531373978
,Ayélawadjè,6.933773,2.604666,0.32750002,5.246824102454427E8,10,0.07785996,0.6167755,2.6675057,1251.0338307023048
,Location #17068,10.841847,2.236898,0.3375,6.443680652454427E8,20,0.5203671,0.33447072,0.17921904,1139.021434187889
,Location #17086,10.727827,2.373486,0.30416667,6.433711677454427E8,30,0.17344649,0.2771204,0.15362135,1082.316261768341
,Founougo,11.536282,2.602134,0.31666666,6.555112254121094E8,40,0.7132482,0.3200843,0.62567204,947.7464767694473
,Location #17087,9.660103,1.781376,0.35416666,6.130515314121094E8,20,1.0077322,0.3577478,0.50022596,1327.1618990898132
,Location #17051,10.601751,2.709067,0.3075,6.425656762454427E8,40,0.46373534,0.2631209,0.2859585,1074.0114043354988
,Location #17070,9.893316,1.992344,0.31166667,6.174254122454427E8,40,1.126518,0.28443542,0.26260233,1360.7015511989594
,Manta,10.392517,1.089451,0.28916666,6.22414767578776E8,40,1.2617732,0.34655866,0.7804677,1064.761237025261
,Location #17102,9.517631,2.488785,0.31833333,6.061820797454427E8,40,0.4991116,0.27222958,0.15621378,1314.8777141571045
,Location #17048,6.991482,2.485252,0.32666668,5.310864234121094E8,40,0.17386381,0.59942764,0.99373543,1269.912253499031
,Location #17097,10.772442,3.056663,0.25916666,6.479533564121094E8,30,0.34690005,0.37075046,0.19925198,1063.5511846542358
,Location #16967,9.505832,1.727836,0.38083333,6.083476439121094E8,20,0.2474779,0.37007743,0.35986492,1420.5210229158401
,Grand-Popo,6.335714,1.824905,0.38,5.71383721578776E8,90,0.0,0.54411924,1.7800049,1116.9415308237076
,Komiguea,9.55972,2.502944,0.31416667,6.09144762578776E8,40,0.6999852,0.31431577,0.15530746,1290.9056994915009
,Aklampa,8.260429,2.262922,0.31333333,5.769455144121094E8,20,1.0521098,0.46195936,0.2521432,1243.347920536995
,Wanrarou,10.109582,2.738215,0.29666668,6.278316712454427E8,20,0.6467922,0.38820174,0.26990074,1166.2002266794443
,Location #17013,10.435255,2.034116,0.32333332,6.310636722454427E8,40,1.6786323,0.2884765,0.42456925,1135.7001338601112
,Location #16976,11.454171,2.429908,0.30333334,6.54060131578776E8,40,0.8219428,0.303117,0.52155876,960.0507912635803
,Location #17000,10.660644,2.766832,0.30666667,6.455477189121094E8,40,0.5002096,0.25022385,0.5021991,1053.3388150334358
