identifier,village_name,lat,lon,viirs_radiance,solar_radiation_j,landuse_code,terrain_slope_deg,ndvi,worldpop_density,rainfall_mm
,Awonou,6.758732,2.542348,0.39666668,5.2587103107877606E8,10,1.031444,0.51448625,1.2953249,1328.2759712934494
,Location #10864,7.525051,2.158204,0.31916666,5.649778574121094E8,40,0.92740995,0.3653874,0.43461853,1186.407619357109
,Location #10946,8.116272,2.545438,0.36916667,5.68842871578776E8,20,0.87881136,0.44198176,0.3743921,1233.4171396195889
,Saah,11.232799,3.058689,0.32666668,6.54369322578776E8,40,0.69399774,0.28006357,1.0734658,932.6151239871979
,Location #10726,7.671063,2.671045,0.30083334,5.529803422454427E8,10,1.3229358,0.41960186,0.38112026,1133.1019154787064
,Illosso-Saharo,6.754356,2.584411,0.37666667,5.2371873807877606E8,10,0.4962425,0.4784184,1.43386,1341.2288712263107
,Yingnimpogou,11.52082,2.428513,0.33416668,6.54060131578776E8,40,0.5270107,0.28503653,0.7066044,920.991144657135
,Kandi,11.046821,2.79951,0.2875,6.51455621578776E8,40,0.5980128,0.28889164,0.7232515,1016.354237370193
,Location #10892,11.315422,2.675556,0.3175,6.539768734121094E8,40,0.40161562,0.32486728,0.25957844,985.6585341095924
,Location #10875,7.911671,2.422475,0.33083335,5.671041812454427E8,10,1.4899583,0.4310298,0.20698678,1098.6780866384506
,Sèmèrè I,9.516836,1.414817,0.3825,6.07432216578776E8,20,1.3991129,0.42345428,1.2498262,1430.0566720366478
,Taba,9.299633,1.648037,0.34333333,6.034461717454427E8,20,0.55364424,0.32618052,0.22687297,1494.9724816083908
,Séro Kparou,10.282652,2.87217,0.30333334,6.360325607454427E8,40,1.2364626,0.33523753,0.45088518,1106.2815774679184
,Zoungou-Pantrossi,10.76704,2.906595,0.26,6.481408869121094E8,40,0.5203409,0.32592377,0.23332518,1077.233263850212
,Bureau d'Arondissement,6.765892,2.367775,0.38333333,5.2898402707877606E8,10,2.1019633,0.5799074,1.0181243,1344.956897854805
,Liboussou,10.921646,3.46545,0.28583333,6.517343242454427E8,40,0.63802844,0.29106414,0.45658875,1053.3170498609543
,Kpadé,11.00826,2.897833,0.2975,6.51544925078776E8,40,1.220537,0.26958898,0.70502055,1040.8941694498062
,Partago,9.465114,1.922609,0.33583334,6.086051932454427E8,10,0.9402074,0.5287953,0.37948123,1330.0941319465637
,Gorogao,10.463972,3.67242,0.27833334,6.478108554121094E8,40,0.66866946,0.31640625,0.541407,1259.0670099258423
,Location #10758,8.298968,1.901856,0.33166668,5.847525984121094E8,30,0.2795847,0.4098031,0.27463463,1335.6002416610718
,Sé,6.765386,2.093361,0.37666667,5.3658948357877606E8,10,2.4938662,0.6349257,0.6696751,1168.9032201766968
,Location #10954,10.738024,0.991715,0.29416665,6.305287024121094E8,40,0.5002878,0.2686127,0.93082225,1047.6057106256485
,Location #10882,10.453067,1.213978,0.31416667,6.244779062454427E8,20,1.2259737,0.46460146,0.71819556,1107.7073055505753
,Location #10687,11.334391,2.550874,0.32583332,6.540374072454427E8,40,0.44158497,0.3481105,0.8147169,1004.7469692230225
,Location #10869,9.762368,2.350288,0.36916667,6.16041690078776E8,20,0.54667443,0.37976444,0.29314613,1243.5280429124832
,Location #10936,10.830828,2.918483,0.27166668,6.481408869121094E8,40,0.76347685,0.3042913,0.5091693,1055.6949466466904
,Gougnirou,11.472413,2.447061,0.34083334,6.54060131578776E8,40,0.70257837,0.26072475,0.7332469,960.0507912635803
,Koguédé,7.223669,2.16009,0.46,5.51064295078776E8,30,0.3188259,0.45929304,6.2744513,1164.4667859077454
,Koumagou,10.154328,1.124994,0.34583333,6.175493084121094E8,40,0.7437081,0.31044334,1.8630883,1159.6261509656906
,Location #10744,9.75797,1.797143,0.30333334,6.149931527454427E8,20,0.7768302,0.39817578,0.523147,1414.361479640007
,Adjahomey,7.064974,1.790476,0.3625,5.57639508578776E8,20,1.7070142,0.42149135,2.4088209,1249.5077250599861
,Location #10815,11.570119,2.363603,0.315,6.542868282454427E8,40,0.28046474,0.34477407,0.36476052,931.9190949499607
,Kpakpanin,8.82016,2.622731,0.37583333,5.84373257078776E8,20,0.7315818,0.50470245,1.5312937,1332.0383377075195
,Aifa,6.782958,2.269358,0.35583332,5.321815842454427E8,10,0.767798,0.5705334,1.2296736,1345.2329322099686
,Location #10937,10.465386,1.091873,0.37416667,6.24839764078776E8,40,0.23187147,0.339172,0.76872885,1027.5082430243492
,Gando Sanni,9.538675,2.944741,0.3375,6.06672961578776E8,10,1.6616504,0.3746958,0.4051256,1207.9003729820251
,Sègbohouè,6.411415,1.981021,0.33833334,5.553865862454427E8,10,0.109650254,0.6611795,2.3508387,1307.1533459424973
,Location #10749,9.791092,2.015836,0.29833332,6.15533935078776E8,40,1.0182613,0.32318562,0.697638,1305.9482032060623
,Angaradébou,11.40711,3.079646,0.30333334,6.56929545078776E8,40,0.30916065,0.28880244,0.630688,818.614052304998
,Location #10952,6.400398,2.044047,0.39083332,5.553865862454427E8,10,0.24456747,0.60625917,1.989874,1171.1993588209152
,Yékéna,10.026943,3.116719,0.3275,6.29431920078776E8,20,1.2920263,0.36544988,0.3379869,1257.4514853954315
,Location #10865,10.349698,1.031092,0.32833335,6.228774414121094E8,40,1.0472786,0.28967884,0.58884543,1106.952421426773
,Mongo,11.143053,2.901832,0.47416666,6.529507797454427E8,40,0.6321584,0.2536454,2.3779378,990.3182564526796
,Location #10835,11.078996,2.481313,0.34416667,6.512443064121094E8,40,0.55129284,0.3068406,0.3213019,1057.8827995955944
,Boko,9.481141,2.616824,0.33583334,6.05997302578776E8,20,1.684296,0.347891,1.3710059,1269.0730368494987
,Tokpadomè,6.50995,2.013811,0.48,5.46331455578776E8,10,0.24584259,0.47390935,2.016233,1289.4557218551636
,Ganoussirou,11.421817,2.514202,0.33333334,6.551547637454427E8,40,0.24885982,0.30530688,1.2023911,953.217939376831
,Abeokouta,6.805032,2.44798,0.31833333,5.2587103107877606E8,10,0.15567926,0.6083152,0.92675734,1345.9647649526596
,Location #10679,11.053493,2.703934,0.28333333,6.523064207454427E8,40,0.60833913,0.27991903,0.5241849,1036.545741647482
,Avlamè,7.108703,2.124407,0.58416665,5.49182310078776E8,20,1.0099016,0.3497035,2.6316857,1228.2184864282608
,Dahè,6.527186,1.943469,0.43083334,5.499726327454427E8,10,1.0964974,0.56052816,4.7980814,1151.1298215389252
,Location #13801,6.960651,1.929373,0.4608333,5.49105513078776E8,20,1.6452297,0.48839897,4.90829,1151.3977969288826
,Location #10516,10.004473,2.696571,0.32666665,6.241156559121094E8,40,0.62326384,0.31009236,0.62812847,1183.0443850159645
,Adjarawamè,6.832104,2.561616,0.34916666,5.2371873807877606E8,10,0.10969762,0.5664026,0.96231675,1260.9085936546326
,Pèrèrè,9.685999,3.135345,0.3225,6.18201809078776E8,20,1.6288403,0.4181938,0.4496007,1229.0137856006622
,Location #10432,7.457588,2.123854,0.37333333,5.68485546078776E8,20,1.6766721,0.41576293,0.58818865,1247.229147553444
,Location #10464,6.627821,2.653601,0.4575,5.2468460407877606E8,10,0.15562165,0.6232916,4.9655213,1370.8820358514786
,Grand-Popo,6.428035,1.784111,0.4025,5.62114712578776E8,30,0.109652065,0.5882854,1.2256896,1203.0056296288967
,Location #10479,6.849805,1.710801,0.34916666,5.489089044121094E8,40,0.64164615,0.52832305,6.659166,1137.5142875611782
,Kandi,11.225037,2.824966,0.3025,6.536332714121094E8,40,0.834649,0.21905218,0.6057518,930.5124481320381
,Honhoué,6.529127,1.898069,0.36083332,5.499726327454427E8,10,0.23187147,0.5185629,2.7586718,1114.556163072586
,Boussoura,10.329291,2.913012,0.30916667,6.360325607454427E8,40,1.2389545,0.34791127,0.31000826,1147.1880915910006
,Location #10370,11.58586,2.626235,0.3075,6.55526810078776E8,40,0.67239803,0.2527557,0.59620816,948.9756466448307
,Location #10468,8.305372,2.098754,0.31333333,5.812196529121094E8,10,1.0765358,0.5732629,0.5826266,1240.0821957588196
,Gouka,8.132194,1.951426,0.46583334,5.81193528578776E8,10,1.1260943,0.5176006,1.5206926,1299.2027620077133
,Setto,7.540145,2.050541,0.33583334,5.68485546078776E8,20,0.8010131,0.4221443,0.6523434,1182.7750281095505
,Domè,7.109683,2.24109,0.36,5.45932524078776E8,40,0.69235146,0.41917896,0.62902296,1211.6034862995148
,Goumori,11.128978,2.327677,0.30166668,6.51119683078776E8,40,0.648831,0.2927949,0.6904911,1052.0477209687233
,Kokey-Sinkparou,11.390606,2.517813,0.2875,6.551547637454427E8,40,0.15768605,0.34193784,1.0928524,979.4389551877975
,Location #10602,7.397431,1.790829,0.28083333,5.741933339121094E8,30,0.3972804,0.5018537,0.33739835,1300.6974551677704
,Location #10375,11.355653,2.553077,0.30333334,6.55408693078776E8,40,0.70003635,0.2738096,1.040657,995.4849921315908
,Hlagba-Lanmè,6.966024,2.19082,0.3375,5.408281819121094E8,10,0.39421475,0.4761995,0.58939505,1338.8118389844894
,Kpanroun,6.661168,2.364889,0.49166667,5.294282217454427E8,10,1.4255196,0.58629715,3.3791862,1229.0935782194138
,Korontière,10.284916,1.004658,0.29,6.20437152078776E8,40,0.8674679,0.23910399,0.7282196,1111.7550834268332
,Tokpadomè,6.512188,2.011771,0.59499997,5.46331455578776E8,20,0.5499903,0.5177744,2.5278192,1289.4557218551636
,Koutangou,10.373363,1.079282,0.3175,6.22414767578776E8,40,0.7768452,0.2937253,0.8771458,1064.761237025261
,Hounssagoudo,6.628979,2.298312,0.76416665,5.343463799121094E8,10,1.9841474,0.5610128,2.8994033,1242.9371361732483
,Datori,10.361192,0.901611,0.315,6.233261422454427E8,40,0.86453485,0.26328647,0.5588542,1094.7580479085445
,Location #10577,9.388207,1.625023,0.33583334,6.059342474121094E8,10,0.5953671,0.42288476,0.55449045,1474.0218443870544
,Djègbamè,6.320681,1.981967,0.31583333,0.0,95,0.311052,0.4310823,6.524989,1258.9094398021698
,N'Dali,9.869479,2.613961,0.3,6.196004457454427E8,40,0.45565987,0.33961084,0.3046972,1162.5634425282478
,Igoïssi,6.966698,2.615269,0.39666668,5.289347967454427E8,10,1.9455936,0.52860516,2.1530175,1309.9443954229355
,Location #10523,9.57837,2.854657,0.25833333,6.103623992454427E8,10,1.572672,0.31597587,0.32702318,1187.9833445549011
,Batin,10.459509,3.005237,0.34416667,6.408542244121094E8,20,0.11023287,0.40007833,0.26708695,1159.6130505800247
,Anandana,9.942221,1.424838,0.35,6.125279362454427E8,40,1.0318784,0.33097467,0.6522198,1314.8106889128685
,Igbo-Assan,6.829843,2.568694,0.3333333,5.2371873807877606E8,10,2.8096726,0.5003515,0.95591193,1260.9085936546326
,Location #10374,9.879492,1.798366,0.3725,6.16487199078776E8,30,1.0227184,0.38151413,2.1105392,1316.5808091163635
,Foulamayé,12.28222,2.965438,0.32,6.699723729121094E8,40,2.8081906,0.3144491,0.19771446,737.9672963619232
,Koumagou,10.140046,1.154464,0.3925,6.15389191578776E8,20,1.7794025,0.3421575,1.087654,1193.3852134943008
,Ougoubigo,11.635327,2.481918,0.29166666,6.552649474121094E8,40,0.24493141,0.3260785,0.56660366,935.1631087064743
,Location #10442,7.050042,1.89823,0.335,5.49105513078776E8,20,1.3727849,0.5285738,3.5228295,1188.2298392951488
,Gounarou,10.951123,2.985876,0.29416665,6.515003779121094E8,40,1.5681279,0.30850384,0.24306448,1025.922364987433
,Donwari,11.1739,2.856874,0.30583334,6.53691659578776E8,30,0.32447153,0.29880542,0.99571574,977.6752547733486
,Materi,10.662437,1.060349,0.37416667,6.30130960078776E8,20,3.6868742,0.35105416,1.6374295,991.9791221618652
,Location #10584,10.752099,2.923145,0.28666666,6.481408869121094E8,20,0.7179698,0.4377289,0.24551158,1077.233263850212
,Location #10638,10.191762,1.319479,0.315,6.170536734121094E8,20,0.3904276,0.40946895,0.40043372,1259.1020019054413
,Location #10597,10.695272,2.728414,0.30416667,6.451241469121094E8,40,0.72456527,0.31313452,0.42461836,1061.2183393836021
,Takotiéta,10.312338,1.070984,0.37583333,6.19988337078776E8,40,0.78100514,0.3112097,0.8320692,1090.9500976800919
,Location #10371,9.399514,2.92757,0.325,6.031638992454427E8,40,1.1530858,0.34985265,0.24657245,1278.6276497840881
,Cobli,10.42842,1.026523,0.30833334,6.228774414121094E8,30,1.6245751,0.34742633,0.7514758,1074.0179079771042
,Location #10474,7.607904,1.958306,0.28666666,5.737809047454427E8,20,0.637665,0.48309457,0.22631553,1185.856349259615
,Tasso,9.757702,3.190636,0.26916665,6.242884952454427E8,20,1.2758427,0.3594832,0.4405883,1269.461831241846
,Location #10630,6.622416,2.329576,0.81666666,5.343463799121094E8,10,1.4103987,0.50535834,3.6487978,1246.8288329839706
,Guénéssama,10.788989,3.425145,0.3325,6.498497132454427E8,40,1.1041259,0.2970549,0.20724832,1138.015096127987
,Perma,10.10963,1.4155,0.37416667,6.15236678078776E8,30,1.2149782,0.39360413,0.53512806,1293.635106086731
,Location #10441,7.00804,1.877458,0.39000002,5.49105513078776E8,20,0.7765903,0.46520114,2.6922655,1188.2298392951488
,Location #10646,6.542401,2.032098,0.41,5.46331455578776E8,30,0.15559448,0.5499341,2.1772323,1289.4557218551636
,Goulé Sidi Pépa,10.675345,3.820636,0.33166668,6.507528232454427E8,30,0.78159946,0.29903615,0.28812522,1162.47909283638
,Location #10466,10.320031,0.93442,0.27333334,6.208824362454427E8,40,1.1272771,0.29863614,0.51226705,1086.0155206024647
,Camp Peulh,9.041051,1.706557,0.30416667,5.96314406078776E8,10,0.77681375,0.3968837,0.6396949,1401.898935854435
,Location #10412,9.396663,2.011207,0.34166667,6.059693327454427E8,20,1.4618431,0.4643584,0.34894,1353.1560277938843
,Tabota,10.376204,1.042134,0.31666666,6.228774414121094E8,40,1.0125045,0.30465463,1.1772025,1106.952421426773
,Cobli,10.521113,1.016075,0.29916668,6.253024557454427E8,40,0.9558452,0.35668924,1.084807,1054.659538043663
,Dérassi,10.169261,3.248413,0.29666668,6.369141459121094E8,40,0.9483499,0.31733558,1.1713641,1111.0208669304848
,Location #10612,6.631037,2.570672,0.47583333,5.258678809121094E8,10,0.56295514,0.48011202,2.5338976,1328.4144433140755
,Touranyannou,11.448724,2.360197,0.33416668,6.539109929121094E8,20,0.4173925,0.36558142,0.6794547,993.9942848458886
,Ifangni,6.720586,2.770063,0.365,5.215652644121094E8,20,0.38912326,0.6381896,4.407737,1483.3519063591957
,Location #10623,6.819453,2.359066,0.31166667,5.2898402707877606E8,10,2.7832346,0.5835493,1.010904,1377.5684985518456
,Location #10547,8.38158,2.206948,0.32083333,5.807454589121094E8,20,0.83363616,0.48738056,0.23337923,1187.4480916410685
,Dérassi,10.163737,3.19798,0.31833333,6.369141459121094E8,20,0.39434505,0.32882747,0.61843204,1133.3404609560966
,Abou Koto,11.180551,2.932536,0.35,6.53691659578776E8,40,0.17550766,0.30920616,1.9622902,969.3172738403082
,Balakpènan,10.941506,3.10978,0.2825,6.49800214078776E8,20,1.8604887,0.37372568,0.32923707,1013.2097724154592
,Location #10400,9.726613,1.881335,0.34333333,6.134465337454427E8,40,0.88604605,0.3387442,0.5315601,1275.625745177269
,Location #10568,6.822437,1.897881,0.36,5.41829331578776E8,30,0.45152304,0.5787448,2.0847003,1201.296867609024
,Béroubouay,10.571804,2.766899,0.3175,6.429465109121094E8,30,0.39312124,0.35640764,0.29443526,1075.8893746733665
,Siliko,6.782463,2.541298,0.36583334,5.2587103107877606E8,10,2.750483,0.6315814,0.84487784,1328.2759712934494
,KPIRÉ,9.725138,3.14452,0.32833332,6.18201809078776E8,40,1.2919945,0.3209541,0.2833118,1244.2836908102036
,Location #10607,9.943584,1.685874,0.29916668,6.155884304121094E8,20,1.5013524,0.3417133,0.5996268,1300.9512679576874
,Zounge,7.027787,2.501238,0.32916665,5.310864234121094E8,10,0.10972028,0.5252103,1.4147813,1301.8832422494888
,Location #10448,7.229175,2.443536,0.41,5.443320394121094E8,40,0.10974442,0.33283162,2.8867645,1133.4550836086273
,Location #10647,6.842535,2.01642,0.35999998,5.392434079121094E8,30,0.774862,0.525683,2.0117717,1077.9054449349642
,Grand-Popo,6.382237,1.817996,0.32,5.62114712578776E8,10,0.07777278,0.65767527,2.3007476,1125.8050535917282
,Location #10489,11.299279,2.652341,0.33666667,6.539768734121094E8,40,0.4791736,0.3062018,0.30367473,974.0870786905289
,Gouandé,10.797549,0.947555,0.23416667,6.333138539121094E8,40,0.6937857,0.25094607,0.8658873,1063.245194554329
,Kpassana,11.029938,3.669014,0.27833334,6.54105123078776E8,40,0.62602067,0.2982096,0.22762439,1121.4217948913574
,Location #10504,10.655539,0.939821,0.6825,6.30830745578776E8,40,0.45277658,0.28613755,0.42530605,1048.3278521299362
,Koutangou,10.359487,1.053728,0.32833335,6.22414767578776E8,40,0.57129145,0.27348226,0.6877737,1064.761237025261
,Abomey,7.171354,1.912657,0.32999998,5.605647459121094E8,20,0.17391826,0.43390164,0.69326323,1191.028260588646
,Location #10640,10.456114,1.232273,0.36,6.244779062454427E8,30,1.6619533,0.35542712,0.9806189,1107.7073055505753
,Aledjo-Koura,9.329364,1.445374,0.41416666,6.03016592078776E8,40,0.94054306,0.384305,1.4199119,1656.0972321033478
,Manta,10.412041,1.097817,0.29749998,6.22414767578776E8,40,1.257169,0.29110128,0.81075156,1047.895122051239
,Oké-Owo,8.04225,2.657209,0.27916667,5.613177002454427E8,10,1.1618292,0.4728485,0.3839175,1212.099129974842
,Donwari,11.173711,2.848638,0.31416667,6.536332714121094E8,40,0.7331044,0.28907147,0.7473222,951.8905964940786
,Ichougbo,7.053126,2.588725,0.3925,5.335902372454427E8,10,0.27933002,0.5491318,1.2745903,1349.266414642334
,Sonsoro,11.074767,2.795705,0.315,6.52875665578776E8,30,1.0353404,0.29344723,0.6948907,1023.4979077428579
,Location #10471,10.479883,1.104422,0.2875,6.24839764078776E8,40,1.1111006,0.35656717,0.27005088,1027.710762873292
,Location #10483,11.556429,2.594788,0.3225,6.55526810078776E8,40,0.61103874,0.2742958,0.5906113,928.4792209044099
,Founougo,11.490705,2.558352,0.32,6.555112254121094E8,40,0.47322127,0.2847948,1.8183061,919.8512387871742
,N'Dali,9.844113,2.662545,0.2925,6.159136812454427E8,20,0.5410203,0.38566712,0.42802066,1195.0171374678612
,Location #10418,6.513499,2.031859,0.3525,5.46331455578776E8,20,0.27992937,0.4578342,1.6479189,1289.4557218551636
,Bagou,10.886898,2.72522,0.32833335,6.492443972454427E8,40,0.9406698,0.3429489,0.49900556,1025.6567596793175
,Lanta,7.095001,1.862311,0.4475,5.548588109121094E8,20,2.0302877,0.54513425,2.4835525,1211.0079863071442
,Pouya,10.271614,1.472647,0.3875,6.198267754121094E8,20,0.7987807,0.39594382,0.67442447,1335.1524305343628
,Datori,10.415119,0.808343,0.34083334,6.237920977454427E8,40,0.7379243,0.28649455,0.9030572,1078.8296878486872
,Tinhourè,11.011705,2.202584,0.32416666,6.484929159121094E8,40,0.62329614,0.2967621,0.35881618,1105.8935883045197
,Sèmèrè I,9.603726,1.417577,0.40083334,6.092057557454427E8,40,1.2375329,0.31392694,1.2496896,1339.7295633554459
,Location #10499,8.328031,2.156278,0.2916667,5.790315109121094E8,10,1.0062697,0.46021715,0.49618363,1225.6255497932434
,Nassy,9.652331,3.002593,0.31666666,6.160743552454427E8,40,1.1919332,0.36044198,0.35702702,1209.8455313444138
,Location #10426,11.218094,3.165164,0.3625,6.544765434121094E8,40,0.95705223,0.31332555,0.27467185,912.1888998150826
,Location #10599,7.45429,2.390185,0.2925,5.583295544121094E8,10,1.7989062,0.4384075,0.28416923,1201.8328838944435
,Founougo,11.462533,2.541201,0.39666668,6.552696362454427E8,40,0.4574347,0.26414135,2.4488215,932.7679905891418
,Anandana,9.962044,1.371723,0.3275,6.13709612578776E8,40,1.933576,0.32899034,0.7062363,1244.3453257083893
,Location #10363,11.10699,2.473,0.30666667,6.512443064121094E8,40,0.46373534,0.30901036,0.3334261,1032.142870310694
,Location #10451,6.921775,2.414809,0.30333334,5.2994592307877606E8,40,0.38928854,0.35508135,3.9309,1298.0084545612335
,Tabota,10.37887,1.026063,0.30416667,6.228774414121094E8,40,1.8353103,0.34618708,0.88820666,1106.952421426773
,Boukombé,10.209664,1.055884,0.315,6.175493084121094E8,40,0.8290715,0.31296572,0.6767203,1098.4095709845424
,Founougo,11.458154,2.491163,0.31666666,6.552696362454427E8,40,0.2804311,0.31937635,1.0281227,965.1206704378128
,Location #10572,6.784455,2.242216,0.35916668,5.3450409957877606E8,10,0.7883805,0.56496185,0.73268384,1328.347893834114
,Location #10391,10.343574,3.056761,0.27416667,6.38424586578776E8,20,0.69357526,0.3684788,0.18934934,1094.9099727869034
,Location #10492,10.878821,2.716308,0.31083333,6.492443972454427E8,40,0.49688092,0.3035672,0.3712848,1025.6567596793175
,Location #10601,10.929229,2.869041,0.32166666,6.49934182578776E8,40,2.001187,0.29322407,0.41354185,1009.7817265987396
,Location #10385,9.436858,1.923159,0.27666667,6.062563534121094E8,10,0.8279608,0.47928157,0.35037082,1309.6149430274963
,Ouidah,6.340542,2.050384,0.43166667,0.0,10,0.30916065,0.54050153,2.2967458,1274.0420398712158
,Sanson,9.271922,2.478452,0.30833334,6.00179138078776E8,20,1.3358457,0.27507794,0.5425809,1281.4929962158203
,Yoko,6.758451,2.60176,0.37833333,5.2371873807877606E8,10,0.07729086,0.5647627,2.1459355,1367.0285410881042
,Goumbakou,9.572581,1.661535,0.36833334,6.10528383578776E8,20,0.41703296,0.42981648,0.43812683,1365.7814044952393
,Saah,11.207969,3.01276,0.33416668,6.538297532454427E8,40,0.8306412,0.26283845,0.57016826,937.4176367246546
,Djanglanmey,6.387926,1.81287,0.35416666,5.62114712578776E8,10,0.109647736,0.5748985,1.5510472,1125.8050535917282
,Location #10386,6.755107,2.35269,0.37916666,5.2898402707877606E8,10,2.2128549,0.6273059,1.5432498,1344.956897854805
,SANSI GANDÓ,9.972241,3.508107,0.29916668,6.354164889121094E8,20,0.4895742,0.40483463,0.27048463,1258.4874364435673
,Location #10422,10.578269,1.051769,0.33666667,6.274326799121094E8,40,0.84600055,0.31279042,0.45893204,985.6401015520096
,Sompérekou,11.353275,2.515884,0.3,6.551547637454427E8,40,0.41737223,0.28361243,1.6680763,979.4389551877975
,Manta,10.409624,1.094202,0.33583334,6.22414767578776E8,40,0.6686298,0.28228804,0.7983514,1047.895122051239
,Touko,11.103079,2.840406,0.32166666,6.52875665578776E8,40,0.6732729,0.2514223,1.5759978,1006.4609149321914
,Banhoun-Kpo,9.701833,2.6567,0.2925,6.122473324121094E8,10,0.91619945,0.342671,0.32118064,1199.4848030805588
,Djakotomey,6.85833,1.665365,0.35916665,5.489089044121094E8,10,0.60542387,0.56348157,3.223665,1170.6366253495216
,Location #10595,10.424896,1.08888,0.3375,6.22414767578776E8,40,0.49814674,0.31366304,0.86389756,1047.895122051239
,Kérou,10.785005,2.127923,0.39333332,6.43360343078776E8,40,1.1121838,0.32117575,1.0716082,1160.5771894454956
,Location #10553,9.771065,1.936384,0.315,6.15418612078776E8,40,0.62538505,0.41347745,1.4947579,1323.4872789382935
,Sanson,9.22269,2.416717,0.35,5.976051257454427E8,40,0.22004753,0.40083537,0.34512082,1299.4288229942322
,Akaradè,9.370246,1.418526,0.32666665,6.054824344121094E8,40,0.8039448,0.33474833,0.7104025,1594.1410666108131
,Hagoumey,6.867375,1.761446,0.40583333,5.464829947454427E8,10,0.8653245,0.6376543,7.3829308,1156.0460144877434
,Location #10367,10.317998,1.008898,0.48833334,6.20437152078776E8,40,2.1328087,0.2953706,0.5444132,1101.1168597340584
,Thuy,11.317206,2.957255,0.29916668,6.551170242454427E8,40,0.77687037,0.28430822,0.60192776,867.1750442460179
,Kpénati,10.204036,2.347043,0.30083334,6.28956231578776E8,20,0.59660655,0.38513586,0.751813,1090.3326567411423
,Location #10397,11.019512,2.418691,0.32,6.49371812078776E8,40,0.8345647,0.34550774,0.22148001,1081.3729676902294
,Sinkparou,11.154592,2.896376,0.37583333,6.53691659578776E8,40,0.623301,0.25708628,1.6784126,977.6752547733486
,Porga,10.939061,1.056217,0.31166667,6.35006334578776E8,40,0.5903125,0.30953547,0.5283564,960.9201955795288
,Gnanro,10.348055,2.439127,0.32333332,6.327240304121094E8,40,1.007745,0.30600527,1.1274534,1100.0659786313772
,Sèmèrè I,9.584073,1.425095,0.39083332,6.092057557454427E8,40,1.7434014,0.39136782,1.2812371,1360.5905132293701
,Tanta,6.678334,2.22411,0.5541667,5.350281767454427E8,10,0.46690327,0.5529427,2.2180367,1250.9959464073181
,Koutala,11.292798,2.904625,0.30916667,6.544373479121094E8,40,0.50087345,0.31096572,0.5086302,922.4252734780312
,Tanta,6.669337,2.180468,0.84833336,5.350281767454427E8,10,0.5599657,0.55166054,4.456782,1219.4864542484283
,Yinwonnou,6.810542,2.535974,0.3425,5.2587103107877606E8,10,0.6952111,0.50116605,0.846321,1329.8953474760056
,Ouidah,6.414207,2.102851,0.565,5.50780378078776E8,10,0.1736989,0.62995225,6.4462914,1269.5004041194916
,Kpakpa,7.897577,2.327307,0.34,5.706302492454427E8,40,1.5678687,0.36800104,0.5453344,1122.6546227931976
,Location #10569,10.854344,2.367551,0.3075,6.474531112454427E8,40,0.34691986,0.29237708,0.13641375,1073.1122517809272
,Location #10377,11.142764,2.675954,0.30166668,6.523064207454427E8,20,0.45297793,0.33826312,0.4451323,1009.9218666404486
,Gah-Winra Bodéde,9.667072,2.73326,0.2775,6.122473324121094E8,40,1.0046788,0.3223743,0.26698887,1213.2350591421127
,Ouidah,6.469806,2.136342,0.49333334,5.428927742454427E8,10,0.17304945,0.6476937,0.9374732,1278.886129975319
,Materi,10.687529,1.093814,0.36166668,6.30130960078776E8,40,0.49831888,0.30686125,1.4065771,991.9791221618652
,Founougo,11.552517,2.532253,0.3075,6.552649474121094E8,40,0.8347859,0.3050389,0.65325105,924.5403271839023
,Location #10624,11.402583,2.738972,0.3125,6.550180514121094E8,40,0.6380927,0.32001328,0.31957224,943.2388880848885
,Location #10620,11.59396,2.496747,0.41583332,6.552649474121094E8,40,0.28270593,0.34977987,0.5528313,950.125207901001
,Location #10388,6.76127,1.63838,0.3375,5.487214104121094E8,40,0.21937758,0.5603316,4.162114,1189.8124970197678
,Location #10536,9.685458,1.948781,0.295,6.134465337454427E8,20,0.6378766,0.468226,0.7014489,1321.2740097045898
,Location #10510,6.967863,2.405397,0.33166668,5.342179182454427E8,30,0.07786603,0.4455849,2.9594018,1279.150955438614
,Location #10617,10.992436,2.816438,0.31,6.51455621578776E8,40,0.4172984,0.31244212,0.75917524,993.8887461423874
,Location #10635,11.003554,2.757929,0.31333333,6.51455621578776E8,40,0.6183033,0.30450192,0.6028711,1023.5691317766905
,Location #10591,6.695906,2.311111,0.46666667,5.3278400457877606E8,10,1.6999011,0.652711,1.8417192,1274.1621436476707
,Takotiéta,10.340096,1.077139,0.28333333,6.19988337078776E8,40,0.7131083,0.29951277,0.74518865,1090.9500976800919
,Houéli-Gaba,7.114514,2.604244,0.37583333,5.335902372454427E8,40,0.21945971,0.51320523,1.6944673,1316.5904479026794
,Yinwonnou,6.819028,2.529949,0.37583333,5.2587103107877606E8,40,0.6609268,0.4462518,0.8866049,1329.8953474760056
,Founougo,11.52392,2.565009,0.30583334,6.555112254121094E8,40,0.76378626,0.26559892,0.7029907,934.6861320957541
,Location #10494,10.604736,1.442764,0.29916668,6.266677647454427E8,30,0.7382597,0.35208175,0.8796553,1142.310447216034
,Gbada,6.63348,2.521873,0.52416664,5.277123512454427E8,10,3.5747852,0.5583012,2.6515758,1303.6168960928917
,Boukouro,10.302568,2.382086,0.32333332,6.327240304121094E8,40,0.8645297,0.36855638,0.95487666,1092.334079027176
