village_name,longitude,latitude,population
Lokossa,1.8776547412621631,6.7529562082622885,198
Location #12016,2.04569076214186,6.759848433332127,62
Tagayé,1.2980260735098,10.309449400985068,57
Sakété,2.6783090592090804,6.781262903871886,101
Tchaourou,3.0359906920982516,9.157997566062642,54
Location #7503,1.670397515989483,8.880132186305168,116
Tchaourou,2.4818825039856365,9.288210899375372,44
Tantéga,0.9982897542839994,10.735197407286462,162
Location #10931,2.5190266479512227,11.580249572830304,72
Adjarawamè,2.561616445064557,6.832104368312607,75
Faranguédou,2.895525027628032,11.190923262861817,54
Malanville,3.2277703021571313,11.714282562257303,52
Kalalé,3.5351937965506663,10.245532936600881,126
Tchaourou,2.5955109498402322,9.030713904641578,67
Tchaourou,2.6253660616703454,9.20495682886329,59
Ouroumon,3.2475637592836986,9.922189963416638,77
Kalalé,3.491177788280904,10.216959355050756,93
Location #13915,2.5141507418399494,10.480805716129291,52
Location #604,2.2968139083960075,6.981381235487478,2067
Kodé-Gouké,2.463620206943282,6.7776039790396325,57
YARAMA,2.854881651825451,10.114140007757326,54
Location #6225,2.2468354253421414,6.732805044685104,147
Natta,1.1103566840260028,10.211818617415137,706
Location #5941,2.5636758005015103,11.634094349967228,157
GOURÈ TÉPEL,3.3712945665524043,9.899302702423544,44
Pobè,2.663067782905914,7.008140863166594,103
Location #16087,0.9684287895571586,10.331593518188825,39
Lokossa,1.6070850371464023,6.63302565701266,82
Kandi,2.8278865193889176,11.24600317909988,36
Bopa,1.9488633862050857,6.7017756597864695,173
Location #1835,2.3762155019141677,7.137647494950444,650
Location #6164,2.740056659985913,11.37756485962832,149
Anandana,1.3821212628322674,9.908934512876199,139
Faranguédou,2.8868106597132637,11.189329915519995,62
Location #14444,2.1957691773148333,11.114174425946096,49
Banamè,2.314983731235104,7.365824894381004,77
Pobè,2.7213100872663634,6.984764370801136,31
Location #16257,1.164933193772456,10.70311505738892,36
Kalalé,3.7343099229002616,10.540370276102367,554
Dassa-Zoumé,2.4194053271360727,7.54265258749046,322
Location #16502,2.6685019948469804,11.311785154365948,34
Location #9622,2.0322707025232742,9.78704218615177,82
Location #6002,1.1050455983993355,10.418480718139401,155
Location #8169,0.8835370891793641,10.419874428471289,106
Fafa,3.0121556982580886,11.2102987269575,44
Location #17160,2.153344856054114,11.166809693981726,15
Location #14621,2.6436467585702967,6.638030391037841,46
Domè,2.2468988511543193,7.101372861698513,113
Péhunco,2.0448141735927767,10.18278443816934,36
Tori-Bossito,2.047402594174298,6.5358377522020366,52
Ouroumon,3.3375549854133486,9.874966542654489,198
Kokey,2.5502990910363157,11.363041614784395,85
Ouèssè,2.5573141331165705,8.597583987264187,51
Awonou,2.556118536838916,6.729484749601178,191
Honhoué,1.9039948885294804,6.56358140123781,302
Tchaourou,2.904949250707763,9.236383435178599,36
Péhunco,1.9658608880049788,10.213536823038616,95
Savalou,1.7458449534227616,7.695273692351191,39
Kankoulga,1.5698814871511027,9.94206552236382,39
Location #16967,1.727836021358471,9.505831647573144,23
Location #8923,1.199962671900858,10.250122329233667,93
Zè,2.230142970234317,6.674686972477088,57
Djougou,1.679510325032239,9.73175830214901,682
Dassa-Zoumé,2.3962651157704986,7.630172839223631,46
Goumori,2.2912086040721986,11.117534891967612,44
Location #6454,2.6244075904547723,7.691730249531712,142
Manta,1.1340245219898508,10.33174886883501,52
Location #14876,1.0510624884455992,10.301350961771101,46
Savalou,2.108716370013981,7.903977740502302,28
Location #12692,2.4968418814409477,10.446617222546012,57
Lobogo,1.8887662505950218,6.701854766635991,72
Location #11496,2.2113280332433516,11.15727205237694,67
Banikoara,2.556412952826564,11.255047309587328,139
Location #6554,1.13891968494154,10.54038570547983,139
Dassa-Zoumé,2.375532628033629,7.603523965184727,356
Grand-Popo,1.8249051164376198,6.335714433462956,23
Location #15035,2.0937781002565297,8.426040043443805,44
Ita-Ègbèbi-Alakporou,2.729213480280281,6.907372898177456,90
Ouèssè,2.2346049739081377,8.516040794365809,64
Bohicon,2.107973826545269,7.18761644810539,57
Sori,2.798581660704829,10.746643660687635,80
Ouenou,3.276685948131236,9.81322725989113,183
Gougnirou,2.467676687822025,11.489651324121644,54
Kouandé,1.4962079191305442,10.006950489664476,70
Natitingou,1.3872014124980527,10.39318749750235,93
Savalou,1.9305330327312162,7.864090578285522,34
Bohicon,2.1563113084200136,7.165563019193759,95
Malanville,3.3716480588591717,11.766821393638105,41
Bopa,1.8919547689888285,6.729480336439305,75
Bopa,1.9181934383479686,6.773404322643307,108
Komiguea,2.5029438453542947,9.559720429175472,23
Location #12175,2.2528130332388603,6.803898408740598,62
Kandi,2.8247206780317162,11.22747180999064,34
Zoungou-Pantrossi,2.8516523402199225,10.817436649204295,332
Ouaké,1.3799005494463732,9.754165802090576,49
Partago,1.8985012496593494,9.549568542608899,183
Doga,2.3991363597879363,7.1978699696825235,234
Location #10063,2.010347733102281,7.470999515206766,80
Location #2244,2.553225099181803,6.717022482601537,521
Location #16703,2.4280525203635324,11.071417480463905,31
Tchakama,3.3114350303352307,10.89992625628109,39
Kongou,2.8989233188575496,11.211537617541861,54
Kpoulou-Itchougan,2.609806619208764,7.028771844675133,72
Location #10921,0.8279172952431166,10.352927954209061,72
Location #12620,1.853903447898714,7.442876269913145,59
Sampèto,2.419115156870174,11.583767737880333,28
Poto,2.559142948700824,11.320009606492052,39
Location #11246,2.2168842572166505,7.4881365982098,67
Kongou,2.9083441878262333,11.17929526937435,93
Kpomassè,2.0371348104291287,6.464598506611931,52
Za-Tanta,2.146813494678513,7.246949893098885,410
Savalou,1.6780612210132972,7.646286898097596,46
Pam-Pam,1.51720632995569,10.084468262607931,49
Location #4565,2.12385300078809,8.314902851505861,219
Location #8251,2.772583991596903,11.011816812035583,103
Zoungbonou,1.7951032782913419,6.606594336852805,296
Savalou,1.8281061156618648,7.731749509160806,70
Dassa-Zoumé,2.1670061830432075,7.668734709329977,193
Gounin,2.5463920564353,9.871833283721541,170
Takotiéta,1.10229027870288,10.335516395772586,229
Nikki,3.2186164595179894,9.84651555216998,642
Tchaourou,2.3863447484820015,8.855418200755967,39
Location #8797,1.3629012572699548,10.41030502517543,95
Mlinkpin-Guingnin,2.147525129456496,7.30986600968127,157
Location #11744,1.9607952586803432,6.755515161337494,64
Savalou,1.7517879943996149,7.662412731241855,180
Location #16518,2.154986080284557,7.493452967387232,34
Kouandé,1.4908227845224176,9.985616813094417,49
Houéyogbé,1.8721391307825965,6.480892372096238,103
Azowlissè,2.5203901848160153,6.691948965151801,492
Location #13805,1.9348597858897858,10.100651411472148,52
Nikki,3.181546784201155,9.871296051617957,62
Gogoro,2.645698325501595,8.324399761704512,46
Location #15613,0.9448431280679483,10.370240130523491,41
Yoko,2.6104031278000175,6.73124402133839,157
Porga,0.9678157361319805,11.043779179060882,407
Tayakou,1.1887265974754813,10.551825602125378,126
Lokossa,1.6881505930511511,6.708390214060712,126
Ouaké,1.4850893479886134,9.485784547876008,44
Ouoré,2.203406759255097,10.882105198557076,13
Bopa,1.8533045343703478,6.714392839759428,90
Kandi,2.9156108973839023,11.196189719999792,85
Allada,2.1959500506502705,6.771711808074557,49
Location #9135,3.088477308838593,9.768810261228777,90
Pèrèrè,3.135344811964587,9.685999110261411,75
Kouandé,1.7407063495738797,10.28819090842802,49
Location #7155,2.72433648238672,10.948387676559388,124
Location #7831,2.5786250171333487,6.8770618913412545,111
Kabagbèdè,3.073271831580147,11.344688803758967,44
Massi,2.2684085074227713,6.952643175040205,46
Takotiéta,1.078968135958982,10.30868730901214,39
Location #13692,1.1859292768090066,10.121153135983644,52
Location #9457,2.73385226944191,6.894363095105763,85
Zoungou-Pantrossi,2.9303847579280484,10.721907114163736,77
Banikoara,2.5185217117996688,11.231453277107905,52
Takon,2.5981340601531535,6.672356507668346,90
Agbangnizoun,1.8758939076254455,7.138949064644077,54
Location #13355,0.9711525509863868,10.8753323034469,54
Savalou,1.7318157474154006,7.520194071068306,59
Tantéga,1.015844163084805,10.797526486098256,64
Gbada,2.561110731967341,6.6614834707672905,36
Dassa-Zoumé,2.4045094603070254,7.690864279105663,80
Tchaourou,2.44503767562791,9.436045099332226,44
Awonou,2.5485594389378465,6.766057021911782,67
Location #6504,0.8802381056453665,10.478447196391073,142
Taberou,3.234008255912302,9.926446646276638,149
Dassa-Zoumé,2.357258606528546,7.394766376012701,57
Location #14803,2.5715704625383258,8.08299620918836,46
Location #10696,1.6553834255128022,9.353037426946827,72
ISSA KPAROU,3.1067466875011336,9.945071624885099,54
Agoua,1.9359929836935565,8.356860787233579,54
Location #16811,1.0510005111751821,10.291686667569712,28
Location #16716,2.1975305726961496,11.121366380182819,31
Location #11301,2.012351964980059,11.040645752388725,67
Glazoué,2.2784915891429396,7.976673159565883,222
Location #15868,2.6796664252472864,11.332187474495399,39
Malanville,3.125665401783719,11.497726808558864,44
Tchaourou,2.911431742803401,9.117302623745251,52
Aklampa,2.2629223492996635,8.260428716237799,23
Namoutiaga,0.9840775853310547,10.475677776728077,46
Location #13904,1.2004579908183608,10.316850003493423,52
Copargo,1.6253648531923692,9.850598431172568,113
Location #10432,2.123853530474823,7.457588001341446,75
Guéra-Nkali-Tassi,2.8683357911137373,10.338589318211023,34
Kalalé,3.607701135548789,10.45228245064716,46
Gounarou,2.946229920432539,10.943375088636012,52
Tchayagbangba,2.601533324414557,8.153146882882053,196
Location #13253,1.0758193222913537,10.430224000603094,54
Kerou Bagou,2.7069302926192154,10.750980988072381,39
Tchaourou,3.0653112918534045,9.171942541500885,46
Tantéga,1.0498598874028338,10.778749134380849,168
Goro,2.4856628124696343,8.91354680223464,95
Ita-Djebou,2.5997183928046614,6.80585365933348,52
Kouté,3.800813426672387,10.68421796382045,1539
Adjohoun,2.500881739996432,6.685890777157293,1183
